"Type","Name","Website","Marketplace","lat","lon"
"Seller","AC3","http://www.ac3.com.au/","https://marketplace.service.gov.au/supplier/130",-33.8947112205578,151.191013187895
"Seller","AccessHQ","http://www.accesshq.com","https://marketplace.service.gov.au/supplier/40",-35.3153102860278,149.106882309606
"Seller","Accessibility Oz","http://www.accessibilityoz.com","https://marketplace.service.gov.au/supplier/1",-37.8029315969452,145.033473050496
"Seller","Adelphi Digital Consulting Group","http://adelphi.digital/","https://marketplace.service.gov.au/supplier/119",-33.8852496076696,151.211389505472
"Seller","Adobe","http://www.adobe.com","https://marketplace.service.gov.au/supplier/307",53.3504250367083,-6.25984123070598
"Seller","AGContext","http://www.agcontext.com.au/","https://marketplace.service.gov.au/supplier/169",-35.2173414386347,149.031021946591
"Seller","Agile Digital","http://www.agiledigital.com.au","https://marketplace.service.gov.au/supplier/120",-35.3169787363154,149.106309560644
"Seller","Ajilon Pty Ltd","http://www.ajilon.com.au/","https://marketplace.service.gov.au/supplier/121",-35.3085322832587,149.134601721715
"Seller","Alcorn","http://alcorngroup.com/about/","https://marketplace.service.gov.au/supplier/41",-27.4699440892318,153.025769171162
"Seller","AMR","http://www.amr-australia.com/","https://marketplace.service.gov.au/supplier/122",-33.8228641504106,151.193440733782
"Seller","Apis","http://www.apisgroup.com.au","https://marketplace.service.gov.au/supplier/124",-35.3046510988169,149.098132712235
"Seller","Apparent","http://www.apparent.com.au","https://marketplace.service.gov.au/supplier/125",-33.8255805605712,151.204106382386
"Seller","Araza","http://araza.com.au/","https://marketplace.service.gov.au/supplier/126",-37.8149102720918,144.963981859049
"Seller","ARTD Consultants","http://www.artd.com.au","https://marketplace.service.gov.au/supplier/42",-33.8706994382088,151.206511799007
"Seller","Artis Group","http://www.artisgroup.com.au/","https://marketplace.service.gov.au/supplier/127",-33.8235695297323,151.193362728794
"Seller","ASPL","http://www.aspl.net.au/","https://marketplace.service.gov.au/supplier/108",-27.4328670882628,153.064606901966
"Seller","at3am","http://at3am.it/","https://marketplace.service.gov.au/supplier/128",-35.2391535048507,149.152434303695
"Seller","August","https://www.august.com.au/","https://marketplace.service.gov.au/supplier/109",-37.8220604746416,144.997366349631
"Seller","AUREC Human Capital Group","http://www.aurec.com","https://marketplace.service.gov.au/supplier/110",-35.2815376145935,149.130038945649
"Seller","Avanade","http://www.avanade.com","https://marketplace.service.gov.au/supplier/111",-33.8746268719717,151.195400027133
"Seller","Avocado Consulting","http://www.avocadoconsulting.com.au","https://marketplace.service.gov.au/supplier/112",-33.8685717805984,151.209212877341
"Seller","Avoka Technologies Pty Ltd","http://www.avoka.com/","https://marketplace.service.gov.au/supplier/131",-33.8069642644542,151.294690126824
"Seller","Axica","http://www.axica.com.au/","https://marketplace.service.gov.au/supplier/104",-35.2498339109668,149.449515977895
"Seller","Axiomatic Technology","http://www.axiomatic.com.au","https://marketplace.service.gov.au/supplier/294",-27.4696665942192,153.026061240067
"Seller","Azuron","http://www.azuron.com/","https://marketplace.service.gov.au/supplier/113",-33.8699206713285,151.222265238243
"Seller","Bastion Latitude","http://www.bastionlatitude.com","https://marketplace.service.gov.au/supplier/65",-37.823810821997,144.997653649369
"Seller","Bayfront UX","http://www.bayfrontux.com","https://marketplace.service.gov.au/supplier/134",-33.8928603541328,151.260579851277
"Seller","B.B.E",NA,"https://marketplace.service.gov.au/supplier/135",-37.8015384802548,144.978954285216
"Seller","Bliss Media","http://www.blissmedia.com.au/","https://marketplace.service.gov.au/supplier/304",-37.8180284307785,144.941626547586
"Seller","Bourne Digital","http://www.bournedigital.com.au/","https://marketplace.service.gov.au/supplier/43",-37.8671920411581,145.083653801832
"Seller","Briarbird &Co","http://briarbird.com/","https://marketplace.service.gov.au/supplier/136",-37.8142897766099,144.964417432187
"Seller","Business Analysts","http://www.busanalysts.com.au/","https://marketplace.service.gov.au/supplier/137",-27.6162040258125,153.134064340278
"Seller","Callida Consulting","http://www.callida.com.au","https://marketplace.service.gov.au/supplier/138",-35.323985674377,149.136952173236
"Seller","Canberra Consulting","http://www.canberraconsulting.com.au","https://marketplace.service.gov.au/supplier/139",-35.2810841580864,149.130547604027
"Seller","Canoniq","http://canoniq.com/","https://marketplace.service.gov.au/supplier/140",-33.8840109647082,151.158104170413
"Seller","Capgemini","https://www.au.capgemini.com/","https://marketplace.service.gov.au/supplier/305",-33.8689337954094,151.210048124779
"Seller","Carter Digital","http://www.carterdigital.com.au","https://marketplace.service.gov.au/supplier/21",-37.8009364734967,144.978538515022
"Seller","Cathara Consulting","http://catharaconsulting.com/au/","https://marketplace.service.gov.au/supplier/141",-31.9528108413259,115.86098244218
"Seller","cDigital Group","http://www.cDigitalGroup.com","https://marketplace.service.gov.au/supplier/142",-35.2800135832268,149.129811687398
"Seller","Codice","http://www.codice.com.au/","https://marketplace.service.gov.au/supplier/143",-27.4694134990017,153.026100417544
"Seller","Cogent Business Solutions","http://www.cogent.com.au","https://marketplace.service.gov.au/supplier/145",-35.3293932176977,149.174215975577
"Seller","Cogility","http://www.cogility.com.au","https://marketplace.service.gov.au/supplier/144",-27.4699961198156,153.025606346614
"Seller","Cogito Group","https://cogitogroup.com.au/","https://marketplace.service.gov.au/supplier/116",-35.2443623364158,149.03767987913
